rank,review_data,percent_review,total_review
1,2,87,8056087
2,2,88,8861
3,2,83,653117
4,2,81,2239030
5,2,92,603817
6,4,73,637090
7,2,94,32775
8,2,80,594135
9,5,58,2360919
10,2,88,76964
11,4,77,827352
12,2,89,14320
13,2,87,1638517
14,5,66,38061
15,2,88,78076
16,2,85,1089309
17,2,80,522756
18,2,87,575837
19,4,75,489502
20,5,56,61681
21,6,32,34193
22,6,32,9095
23,2,83,238243
24,2,89,138286
25,1,96,706197
26,2,90,281774
27,1,96,6659
28,4,70,19678
29,2,83,120395
30,2,87,872066
31,1,96,182751
32,4,70,16591
33,2,91,206839
34,4,75,222414
35,2,94,66390
36,5,65,69963
37,1,95,302764
38,10,0,0
39,4,76,54594
40,2,94,385531
41,4,77,138973
42,2,91,9739
43,1,97,2880
44,2,88,22244
45,1,97,129499
46,1,97,319016
47,2,86,171998
48,2,89,6019
49,2,86,92199
50,1,98,1497
51,2,91,159
52,1,95,5383
53,2,93,258052
54,2,91,526435
55,2,88,136999
56,2,92,26276
57,5,56,37454
58,2,88,162475
59,2,86,44249
60,4,77,4801
61,2,93,1045237
62,2,86,24231
63,5,59,1903
64,2,87,124025
65,1,96,549927
66,9,18,265929
67,10,0,0
68,2,89,21966
69,5,58,47335
70,10,0,0
71,1,97,227509
72,1,96,165908
73,1,97,271297
74,2,80,1954
75,2,93,265234
76,2,85,3262
77,1,96,31270
78,1,98,237406
79,4,75,163314
80,2,90,8165
81,2,94,160126
82,2,82,66429
83,2,88,57589
84,2,89,60510
85,2,84,35320
86,5,58,572011
87,2,92,95211
88,4,79,139565
89,2,80,72087
90,1,97,1024004
91,4,70,20102
92,2,86,4536
93,5,60,61021
94,2,89,220620
95,4,76,322861
96,4,72,12403
97,2,88,485
98,5,61,21924
99,4,79,72382
100,2,88,263459
101,4,74,216823
102,4,79,117167
103,2,82,156659
104,2,88,215558
105,2,91,58399
106,4,76,34697
107,5,66,12
108,2,84,24361
109,2,98,427
110,1,98,218553
111,2,90,56021
112,2,81,3863
113,4,79,126676
114,4,70,234847
115,1,95,204551
116,1,95,307311
117,2,96,325
118,2,93,41282
119,10,0,0
120,2,83,518261
121,1,95,19058
122,1,97,258414
123,2,91,189517
124,5,61,22185
125,1,96,916851
126,5,69,88647
127,4,78,2758
128,2,81,133257
129,5,67,11184
130,2,82,363279
131,6,30,7826
132,2,94,126771
133,4,78,22418
134,4,74,6114
135,2,93,16673
136,1,97,86559
137,2,89,39269
138,5,59,159
139,2,89,29781
140,5,46,201814
141,2,87,779
142,2,82,31890
143,2,83,131535
144,2,89,92192
145,2,83,23400
146,2,85,76356
147,5,61,98054
148,2,94,101120
149,2,82,15214
150,2,90,892
151,5,58,7184
152,1,97,90989
153,2,91,34394
154,4,76,37280
155,1,97,642290
156,4,77,84290
157,2,83,60014
158,5,67,77898
159,1,95,23751
160,4,70,3787
161,2,88,777
162,2,85,22294
163,1,95,66058
164,1,98,100673
165,1,95,70002
166,2,80,36333
167,2,90,52682
168,2,85,56481
169,4,71,29942
170,2,84,78919
171,2,92,656
172,2,92,205942
173,2,93,18195
174,2,94,141171
175,4,70,12794
176,1,97,230717
177,2,88,189407
178,2,96,188
179,3,97,34
180,2,86,19024
181,2,87,6542
182,2,91,151548
183,1,98,1402
184,4,70,2541
185,1,96,243519
186,2,93,82803
187,1,96,36903
188,1,95,457669
189,2,85,21735
190,2,92,600574
191,4,74,82173
192,4,78,67680
193,1,96,15792
194,2,90,23118
195,4,70,170725
196,5,55,485
197,6,37,3272
198,1,96,142444
199,5,56,447
200,2,91,29357
